Date,Day,Season,Week,TotalMs,Clubs,Players,Transfers,Negotiations,Events,News,Fixtures,Inbox,Contracts,CareerHistory,fixturesMs,trainingMs,recoveryMs,injuriesMs,developmentMs,aiMs,scoutingMs,financesMs,eventsMs,newsMs
2026-11-12,104,2026/27,15,1061.63,1737,41521,35,22,23,2,108,22,18,1,29.08,34.12,36.15,29.89,0.34,298.02,0.58,1.57,90.99,0.00
2026-11-13,105,2026/27,15,1161.16,1737,41521,35,22,20,2,108,22,18,1,29.59,30.64,29.42,34.51,0.02,349.45,0.04,26.02,73.23,0.00
2026-11-14,106,2026/27,16,812.16,1737,41521,35,22,21,2,108,22,18,1,33.42,30.35,29.14,36.95,0.02,60.60,0.03,0.03,40.36,0.00
2026-11-15,107,2026/27,16,705.08,1737,41521,35,22,21,2,108,22,18,1,30.20,30.70,30.87,29.06,0.02,1.38,0.03,0.80,45.48,0.00
2026-11-16,108,2026/27,16,713.11,1737,41521,35,22,21,2,108,22,18,1,27.49,26.62,26.50,26.96,0.02,1.26,0.04,0.03,58.13,0.00
2026-11-17,109,2026/27,16,709.54,1737,41521,35,22,21,2,108,22,18,1,26.34,33.38,29.67,30.36,0.02,1.65,0.05,0.03,34.05,0.00
2026-11-18,110,2026/27,16,983.11,1737,41521,35,28,25,2,108,23,18,1,29.90,29.69,28.20,29.17,0.02,298.34,0.05,0.03,34.86,0.00
