Date,Day,Season,Week,TotalMs,Clubs,Players,Transfers,Negotiations,Events,News,Fixtures,Inbox,Contracts,CareerHistory,fixturesMs,trainingMs,recoveryMs,injuriesMs,developmentMs,aiMs,scoutingMs,financesMs,eventsMs,newsMs
2031-08-02,2,2031/32,1,113376.32,1737,44979,3496,1989,108079,13,35756,12,18,1,25.42,25.15,27.05,24.05,0.10,455.58,0.40,1.41,112288.14,0.00
2031-08-03,3,2031/32,1,1231.27,1737,44979,3496,2001,108091,13,35756,6561,18,1,26.53,23.11,23.69,23.28,0.02,505.54,0.04,0.03,98.74,0.00
2031-08-04,4,2031/32,1,28482.70,1737,44979,3499,2699,109996,13,35756,6567,18,1,24.92,24.44,23.84,24.53,0.02,439.40,0.03,0.04,27427.86,0.00
